Year, AnnualTemp
1900,5.48
1901,6.57
1902,6.06
1903,5.77
1904,6.45
1905,6.58
1906,6.6
1907,6.14
1908,5.35
1909,4.87
1910,5.85
1911,4.34
1912,6.06
1913,5.26
1914,6.58
1915,7.41
1916,4.48
1917,5.32
1918,6.02
1919,5.19
1920,5.68
1921,5.71
1922,5.28
1923,6.9
1924,6.15
1925,7.01
1926,7.32
1927,5.24
1928,6.78
1929,5.65
1930,5.85
1931,6.66
1932,5.7
1933,5.75
1934,7.25
1935,5.7
1936,5.9
1937,5.6
1938,6.98
1939,6.73
1940,7.34
1941,7.44
1942,6.59
1943,5.66
1944,6.56
1945,5.97
1946,6.12
1947,6.53
1948,5.19
1949,5.42
1950,4.57
1951,4.96
1952,6.17
1953,6.81
1954,5.57
1955,4.42
1956,5.64
1957,5.53
1958,7.49
1959,5.91
1960,6.29
1961,6.52
1962,6.38
1963,6.93
1964,5.58
1965,6.32
1966,6.21
1967,6.86
1968,5.98
1969,5.9
1970,5.79
1971,5.38
1972,5.07
1973,5.85
1974,6.21
1975,5.45
1976,6.25
1977,6.11
1978,6.07
1979,6.47
1980,6.46
1981,7.21
1982,5.41
1983,6.59
1984,6.01
1985,5.36
1986,6.64
1987,7.49
1988,6.68
1989,6.47
1990,6.55
1991,6.85
1992,7.25
1993,6.5
1994,6.99
1995,6.65
1996,4.99
1997,7.1
1998,7.72
1999,6.66
2000,6.1
2001,6.44
2002,6.46
2003,6.93
2004,7.78
2005,7.1
2006,7.01
2007,6.48
2008,5.9
2009,6.24
2010,7.22
2011,6.13
2012,6.96
2013,7.68
2014,7.46
2015,8.3
